Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,Cantidad de Leads
4,CA04-5,Delaware,Ciclismo DW,VE- Revisión,https://drive.google.com/file/d/11ydFKJUeekXWV6GWxKGFON5bYAmCnFZT/view?usp=drive_link,No funcionó,Yes,
4,CA04-6,Pensilvania,Noticias Virales PA,VE- Revisión,https://drive.google.com/file/d/1-T9mh_8x2bFK9h1Zg799zhsco77wcCTf/view?usp=drive_link,Me lo bajaron,Yes,
4,CA04-7,Pensilvania,Directo PA,VE- Revisión,https://drive.google.com/file/d/1Swz44MM6iF4Nx8ybUNQgANUcAIRAbnXD/view?usp=drive_link,Trajo 1 lead,Yes,
4,CA04-8,Delaware,RMK Parques Estatales,VE- Revisión,https://drive.google.com/file/d/1LdqsrZKMhkgNv9sAkHMHKrdg7PECyMlS/view?usp=drive_link,No funcionó,Yes,
2,,,,,,,No,
4,CA04-9,Indiana,Directo IN,Enviado a MB,https://drive.google.com/file/d/1Swz44MM6iF4Nx8ybUNQgANUcAIRAbnXD/view?usp=drive_link,Trajo Citas,Yes,
4,CA04-10,Indiana,Sustancia desagradable IN,VE- Revisión,https://drive.google.com/file/d/1HCTAnvwjXZDUktld-Q8Leh45nOjUbRTi/view?usp=drive_link,Trajo Citas,Yes,
4,CA04-11,Indiana,Revisa el agua IN,VE- Revisión,https://drive.google.com/file/d/1VmjH2P1IWpgrluRad1qRNUEx81QelOfe/view?usp=drive_link,No funcionó,Yes,
4,CA04-12,Delaware,Directo DW,VE- Revisión,,,No,
5,CA05-1,Pensilvania,RMK Mundial 2026 PA,Enviado a MB,https://drive.google.com/file/d/1iiP5Bo5p310CNhDD1LTagy8vzV3WJ0zf/view?usp=drive_link,No funcionó,Yes,
5,CA05-2,Delaware,Lums Pond DW,Enviado a MB,https://drive.google.com/file/d/1f-WdJhZ3gOSTCDgzUz5ubFuEjwlMR4Ye/view?usp=drive_link,,No,
5,CA05-3,USA,Químicos en Exceso,Enviado a MB,https://drive.google.com/file/d/1oMDNpddjNpWM_6g5MHDc0djqTdm5xi7_/view?usp=drive_link,No funcionó,Yes,
5,CA05-4,USA,Piel Radiante,Enviado a MB,https://drive.google.com/file/d/1Ao3XpcXpmON_mpFYaZWLKEq7lx3U88_N/view?usp=drive_link,,No,
5,CA05-5,USA,Chica cocina,Enviado a MB,https://drive.google.com/file/d/1vkrq5w39a7VuQglntYWdBbmK-O1l7Jdh/view?usp=drive_link,,No,
5,CA05-6,USA,Chica carro,Enviado a MB,https://drive.google.com/file/d/1Ni1QF_QPz4KjtosmLgFiG-ePFxd950TO/view?usp=drive_link,Trajo Leads,Yes,
5,CA05-7,USA,Te voy a contar,Enviado a MB,https://drive.google.com/file/d/1ZXbYKmZN6_wdOom5aM-VWjFWvF4Dy937/view?usp=drive_link,No funcionó,Yes,
5,CA05-8,USA,Madre preocupada,Enviado a MB,https://drive.google.com/file/d/1C3dyfro9Vb5R4ATUdGsGCkv8eZw_GDW4/view?usp=drive_link,No funcionó,Yes,
5,CA05-9,Indiana,Si vives en Indiana,Enviado a MB,https://drive.google.com/file/d/16EYblxHxKqDtcJ03St0kShofeLjU8F29/view?usp=drive_link,FUEGO 🚀,Yes,
5,CA05-8.1,USA,VAR. Madre preocupada,Enviado a MB,https://drive.google.com/file/d/1J_Ug6YVi9VSghILUz56vRajJ1QO-buQi/view?usp=drive_link,,No,
5,CA05-10,Pensilvania,Si vives en Pensilvania,Enviado a MB,https://drive.google.com/file/d/1emWImE_Kr2unZvSwT9s3KJlilUvxY4XY/view?usp=drive_link,Trajo Leads,Yes,
5,CA05-11,USA,El agua de tu hogar,Enviado a MB,https://drive.google.com/file/d/1xaNa1tqQuGAEG7yHRbuGQmzminfp5aXr/view?usp=drive_link,Trajo Leads,Yes,
5,CA05-12,Pensilvania,No tienes que seguir sufriendo,Enviado a MB,https://drive.google.com/file/d/1LYMYssMBq0xi-Utdv_UTC8Y0b6YYI8XF/view?usp=drive_link,Trajo Leads,Yes,
5,CA05-13,USA,Influencer,Enviado a MB,https://drive.google.com/file/d/1EnxmOGTi8mHVooCvXIDGScr4ZeeeFZuP/view?usp=drive_link,No funcionó,Yes,
6,CA06-1,Pensilvania,estilo Influencer,Enviado a MB,https://drive.google.com/file/d/1Dyp-fUwn01Tj82z9tVlKCAc1ctCODGjo/view?usp=drive_link,,No,
6,CA06-2,Pensilvania,Revisa el Agua,Enviado a MB,https://drive.google.com/file/d/19llW1sAXCc0EKMCiiwk_eJD1s2lAy9aW/view?usp=drive_link,No funcionó,Yes,
6,CA06-3,Pensilvania,Eres dueño de casa?,Enviado a MB,https://drive.google.com/file/d/1xiqbvIAGbd3QQtvpDHwHgrFr5lsLCiw1/view?usp=drive_link,,Yes,
6,CA06-4,Pensilvania,Yo no sabia,Enviado a MB,,,Yes,
7,CA07-1,En espera,,,,,No,
7,CA07-2,En espera,,,,,No,
7,CA07-3,En espera,,,,,No,
7,CA07-4,En espera,,,,,No,
