Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,CLIENTES,Notas
8,AC08-32V,Texas,DESAFIO DEL CALOR,CW- En Curso,https://drive.google.com/file/d/1e5zXMboNwqSut1YmE5M3eZvtlcpAb_Lu/view?usp=sharing,,No,,
8,AC08-33V,Texas,CHICA 2  MEJOR NEGOCIO AIR 32,VE- Revisión,https://drive.google.com/file/d/14ngWJqZyrXdi_wMwtcUdm8WWasuV9lAu/view?usp=sharing,,No,,
8,AC08-34V,USA,NO ENGAÑO,VE- Revisión,https://drive.google.com/file/d/13YXvYUiwKY4NnqjQeBXGarQ1z5nDxy6T/view?usp=sharing,,No,,
8,AC08-35E,Texas,AIR-32 13 - Chica 2,Enviado a MB,https://drive.google.com/file/d/1xU9S3tu7akMLAekmX_ws0ubx4wUg2win/view?usp=drive_link,,No,,
8,AC08-36E,Texas,AIR REY TX 03 - Chica 1,Enviado a MB,https://drive.google.com/file/d/1vCSrmRR2Zjs1PA1UAkksURN9XKCO8v5q/view?usp=drive_link,,No,,
8,AC08-37V,Texas,"ESTRES POR CALOR AIR REY ",VE- Revisión,https://drive.google.com/file/d/14Ckx98v-HbbqG7Sl4of07F_jw6cot-qb/view?usp=sharing,,No,,
8,AC08-38V,USA,GENERAL SUEÑO,VE- Revisión,https://drive.google.com/file/d/14DmaeyYJHka7YvSyflA6qj2ve3XLKru5/view?usp=sharing,,No,,
8,AC08-39E,Texas,AIR-32 14,Enviado a MB,https://drive.google.com/file/d/1OemINm8kzaN8hwU8LTWWekn9Wg_vTnS2/view?usp=drive_link,,No,,
8,AC08-40E,Texas,AIR-32 15,Enviado a MB,https://drive.google.com/file/d/1p6oItYbzV92fpPwiPGb3HaTufU6yiysG/view?usp=drive_link,,No,,
8,AC08-41E,Texas,STATE COOL 07,Enviado a MB,https://drive.google.com/file/d/1K6WSzo20MohwDx5JF0Zxc4BQEWL0azRP/view?usp=drive_link,,No,,
8,AC08-42V,USA,HVAC General 21,CW- En Pausa,https://drive.google.com/file/d/14WvUnzA90RX-ACvoD8VihLBwk7QYK0j2/view?usp=sharing,,No,,
8,ACO8-43V,Texas,AIR 32 ELIANA,VE- Recibido,https://drive.google.com/file/d/15QZIP2YXy_rvpqDnowBpS7QphjPdHM6O/view?usp=sharing,,No,,
8,CA08-44V,USA,"VENTANAS ",VE- Revisión,https://drive.google.com/file/d/14W_qB3osRXT4RMtvL5MBPQ-iEfhtYeiZ/view?usp=sharing,,No,,
8,AC08-45V,Florida,"NEXT LEVEL  CHICA 2 ",VE- Revisión,https://drive.google.com/file/d/14m_aMsBksy0DLaq5j0Ds4CVK3h-Xk-WB/view?usp=sharing,,No,,
8,AC08-46V,USA," GENERAL ELIANA",VE- Revisión,https://drive.google.com/file/d/14WvUnzA90RX-ACvoD8VihLBwk7QYK0j2/view?usp=sharing,,No,,
8,AC08-47E,Texas,GLOBAL AIR-RMK Alerta Houston,Enviado a MB,https://drive.google.com/file/d/16bw1U7Ei52iUvWt4ZBDFEo8bHySQETSK/view?usp=drive_link,,No,,
8,AC08-48E,Texas," GLOBAL AIR 06",Enviado a MB,https://drive.google.com/file/d/1rYt0pYHYzKLU_pqFJpZloCEr_eDvsvS2/view?usp=drive_link,,No,,
8,AC08-49E,Texas,AIR-32 16,Enviado a MB,https://drive.google.com/file/d/1t4Fe3P6Sfl4v_LYoUklz4KcAGuAXzb3C/view?usp=drive_link,,No,,
8,AC08-50V,Texas,AIR REY CAMBIOS,VE- Revisión,https://drive.google.com/file/d/16gw7d7ZpHHaYJryG-mgkaew9UekYm7Cm/view?usp=sharing,,No,,
8,AC08-51V,USA,GENERAL GRAN OPORTUNIDAD,VE- Revisión,https://drive.google.com/file/d/16bAWofjezqLZXcscxpMss-VF7pFS8gZ1/view?usp=sharing,,No,,
8,AC08-52E,USA,RMK General AC07-14,Enviado a MB,https://drive.google.com/file/d/1oATqf7s2s5DMTGUlRo28bwFAMk-gAeUn/view?usp=drive_link,,No,,
8,AC08-53E,Texas,RMK General TX AC06-9,Enviado a MB,https://drive.google.com/file/d/16F6ZmcoqqZ8kWOR22QFAT7BdC-RQTOqV/view?usp=drive_link,,No,,
8,AC08-54E,USA,Chica 2 General 01,Enviado a MB,https://drive.google.com/file/d/1S72GCL4zh4kiDSSM_rKxNmNBQ7pV5IsE/view?usp=drive_link,,No,,
8,AC08-55V,USA,GENERAL CHICA 1 ENTIDADES,VE- En Curso,https://drive.google.com/file/d/16P2xY3nOcO6VBAAqVOkkOgSCRdx_5W-j/view?usp=sharing,,No,,
8,CV08-1V,California," TECHOS Y VENTANAS ",VE- En Curso,https://drive.google.com/file/d/171rh4HPDT2wjqDFhpgzIMzdg7dfnExS5/view,,No,,
8,AC08-57E,USA,RMK AC06-9 Versión 1:1,Enviado a MB,https://drive.google.com/file/d/1ceGNi_e7X-MmY1khrqmND6WhV-KBWU9_/view?usp=drive_link,,No,,
8,AC08-58E,USA,RMK CA08-5 Versión 1:1,Enviado a MB,https://drive.google.com/file/d/1KH1LHfkuZEYzpfm2w9j8fUFoiybbNx-x/view?usp=drive_link,,No,,
8,CV08-2V,California,TECHOS Y VENTANAS SE CAE,VE- Recibido,https://drive.google.com/file/d/16zJutaDbjh2xDdvdNqwaU_QLKoBvizDa/view?usp=sharing,,No,,
8,AC08-60V,USA,"GENERAL COCO ",VE- Re-edición,https://drive.google.com/file/d/1KkZMIHl7JfN0m9Vl7Z7lm42eli0pzAqp/view?usp=sharing,,No,,
8,AC08-61E,USA,NEXT LEVEL Chica 2,Enviado a MB,https://drive.google.com/file/d/1wTkmzW0qBLpuaXwI4U8YRjlocN7Y464D/view?usp=drive_link,,No,,
8,AC08-62E,USA,HVAC General 21,Enviado a MB,https://drive.google.com/file/d/15CgV-CTccBzo3dyVOBjvHSR7ns_SzaED/view?usp=drive_link,,No,,
8,AC08-63V,Texas,AIR 32 DOBLE PANTALLA,VE- Revisión,https://drive.google.com/file/d/18-S4kpTTARv-iww7hYnKpIMGAcRJZJ6y/view?usp=sharing,,No,,
8,AC08-64V,Texas,AIR REY FONDO NOTICIAS,VE- Revisión,https://drive.google.com/file/d/17suriKT9lb_YyUdiKC6WLDAdWqdS6_No/view?usp=sharing,,No,,
8,AC08-65E,Texas,STATE COOL TX 01,Enviado a MB,https://drive.google.com/file/d/1dnHe5mRyrqwFelKFOJpZqFieh_pNjFE7/view?usp=drive_link,,No,,
8,AC08-66E,Florida,BETTER AIR 01,Enviado a MB,https://drive.google.com/file/d/1JX106LUzQqUD4exTkFCZU96him8J1Zsq/view?usp=drive_link,,No,,
8,AC08-67V,Texas,"AIR REY REMAKE CA08-47E ",VE- Revisión,https://drive.google.com/file/d/182xCfTRlwigklJa6e54NqJC0JMimJqs7/view?usp=sharing,,No,,
8,AC08-68V,Texas,"AIR REY ADAPTACION ",VE- Revisión,https://drive.google.com/file/d/182XALWGFyGqriEZb7S6V-XGUhZ-pbu2X/view?usp=sharing,,No,,
8,AC08-69V,Florida,BETTER AIR 100 GRADOS,VE- Revisión,https://drive.google.com/file/d/11ag0rns4gKMsNQzh8E5QO-utshJ6231p/view?usp=sharing,,No,,
8,AC08-70E,USA,Refrigerante Dañino - General,Enviado a MB,https://drive.google.com/file/d/19-xBMy1iImt-NZyhzYCGlQrBw7T01w54/view?usp=drive_link,,No,,
